Filename,AoA,CST Coeff 1,CST Coeff 2,CST Coeff 3,CST Coeff 4,CST Coeff 5,CST Coeff 6,CST Coeff 7,CST Coeff 8,Cl,Cd,L_over_D,t_max,camber_max,dat_path,Quality,cluster_id
WORTMANN FX 63137 AIRFOIL,0,-0.092026423,-0.043757348,-0.015123462,0.33091301,0.26916922,0.33875742,0.32073899,0.36354298,0.82385532,0.023735107,34.71041103796161,0.13688275702302782,0.05927523585466484,..\airfoil_opt\data\processed\WORTMANN FX 63137 AIRFOIL.dat,优秀,3
FX 73CL2152,0,-0.17072774,0.04424125,0.0020966664,0.33298961,0.29005647,0.4943311,0.12812669,0.52066152,0.87195014,0.024582648,35.47014707284586,0.15220978247428618,0.0666943288366935,..\airfoil_opt\data\processed\FX 73CL2152.dat,优秀,3
FX 73CL3152,0,-0.15073527,0.057140571,0.1302332,0.21366847,0.3090195,0.50893541,0.25755646,0.39681457,0.86993333,0.025692496,33.859432341645594,0.1523326362862642,0.08180265468003359,..\airfoil_opt\data\processed\FX 73CL3152.dat,优秀,3
FX74_CL5_140,0,-0.044180785,0.17602301,-0.034254506,0.45201698,0.27934997,0.64043562,0.22098061,0.49715742,1.1147815,0.0277958089999999,40.1061001678348,0.14006148591891346,0.09865699308956939,..\airfoil_opt\data\processed\FX74_CL5_140.dat,优秀,3
FX 74Cl5140 MOD smoothed,0,-0.041945941,0.14793199,0.055290736,0.43174181,0.27253577,0.58834493,0.24250229,0.50810165,1.1182928,0.027221131,41.081790466384376,0.13050235944329017,0.09748637288949319,..\airfoil_opt\data\processed\FX 74Cl5140 MOD smoothed.dat,优秀,3
S1210 12,0,-0.10802851,0.036757814,0.11462739,0.39482621,0.2518546,0.40242191,0.19009438,0.4724712,0.94504864,0.022915906,41.239854972349775,0.11967325048083507,0.07171217600850267,..\airfoil_opt\data\processed\S1210 12.dat,优秀,3
S1221  w 4 deg flap,0,-0.10757998,-0.018790346,0.084908923,0.33103791,0.2516256,0.36009433,0.086778767,0.42983285,0.78481052,0.020697184,37.918710100852365,0.11849335329619562,0.05408049043700577,..\airfoil_opt\data\processed\S1221  w 4 deg flap.dat,优秀,3
S1221  wo flap,0,-0.11340213,-0.0073134501,0.068071307,0.35267962,0.24292043,0.39844313,0.0086914957,0.52775371,0.79988851,0.021642956,36.95837620332453,0.11971851985024622,0.05344984450055614,..\airfoil_opt\data\processed\S1221  wo flap.dat,优秀,3
GOE 164 MVA MK10 AIRFOIL,0,-0.080217097,0.12155952,0.13879214,0.086418929,0.21928112,0.35910001,0.14638853,0.39317865,0.65314787,0.019327617,33.793502323643935,0.0886353466723686,0.06654067843503517,..\airfoil_opt\data\processed\GOE 164 MVA MK10 AIRFOIL.dat,优秀,3
GOE 226 MVA H36 AIRFOIL,0,-0.1345396,0.035982732,0.16057945,0.20584741,0.28749733,0.42725536,0.35826279,0.37122927,0.86093515,0.02377794,36.20730601557578,0.1400898060040679,0.08146579615691905,..\airfoil_opt\data\processed\GOE 226 MVA H36 AIRFOIL.dat,优秀,3
GOE 233 MVA CA4 AIRFOIL,0,-0.10355244,-0.041508648,0.38744856,0.1598018,0.24091812,0.34949724,0.31334249,0.33300606,0.81991146,0.0216281379999999,37.90947977121303,0.11491935063268194,0.08100602576363024,..\airfoil_opt\data\processed\GOE 233 MVA CA4 AIRFOIL.dat,优秀,3
GOE 234 MVA CA5 AIRFOIL,0,-0.11014492,-0.11706246,0.47898903,0.14914066,0.27439419,0.42369054,0.32189162,0.42988822,0.88027589,0.024480379,35.95842572535335,0.1407873649557724,0.09036416829948787,..\airfoil_opt\data\processed\GOE 234 MVA CA5 AIRFOIL.dat,优秀,3
goe482,0,-0.13048089,0.055450945,0.081793888,0.23436578,0.33850951,0.53333628,0.35924508,0.38298744,0.9068535,0.026288622,34.49604547549126,0.16542657878717879,0.08857122550441923,..\airfoil_opt\data\processed\goe482.dat,优秀,3
goe500,0,-0.10762656,0.046130764,0.089185838,0.14887603,0.18912722,0.31820417,0.27009808,0.32876241,0.67330883,0.02065474,32.59827187367161,0.10066248187931495,0.060396648581076476,..\airfoil_opt\data\processed\goe500.dat,优秀,3
e385,0,-0.05740546,0.084279338,0.024550779,0.20109872,0.16893777,0.31274995,0.23641752,0.27184402,0.65926395,0.018103788,36.415801488616644,0.08448175806763551,0.05741364634982699,..\airfoil_opt\data\processed\e385.dat,优秀,1
ah79100b,0,-0.062784022,0.053223465,0.031015035,0.29475436,0.18688659,0.34389848,0.27337897,0.37321705,0.80373334,0.02030302,39.586886088867566,0.1003775459816395,0.06402894396536418,..\airfoil_opt\data\processed\ah79100b.dat,优秀,3
ah79100c,0,-0.083887407,0.095031696,0.019196595,0.22610302,0.19446636,0.34254993,0.27666488,0.47835463,0.76091938,0.021404364,35.54973088665471,0.09980617415740942,0.06668425137526696,..\airfoil_opt\data\processed\ah79100c.dat,优秀,3
ist-mt1-12,0,-0.10719151,-0.068445472,0.089228609,0.23379445,0.15443038,0.32141777,0.33324069,0.40150276,0.71961838,0.020980695,34.29907255217236,0.11993813760075023,0.061443340766324926,..\airfoil_opt\data\processed\ist-mt1-12.dat,优秀,3
ist-mt1-15,0,-0.11803697,-0.086693955,0.22095679,0.23834992,0.21468576,0.42607072,0.47014744,0.38380138,0.87419621,0.025701225,34.01379545138413,0.150016161264454,0.08481477491307596,..\airfoil_opt\data\processed\ist-mt1-15.dat,优秀,3
ist-mt1-18,0,-0.19196934,-0.029291923,0.095499603,0.28497248,0.29728204,0.51308757,0.39154111,0.3927976,0.88762651,0.026776021,33.15005280284177,0.17974184617455669,0.08168273460133187,..\airfoil_opt\data\processed\ist-mt1-18.dat,优秀,3
AH 79100 B AIRFOIL,0,-0.062783732,0.053222078,0.031016022,0.29475389,0.18688989,0.34389229,0.27338798,0.37320841,0.80373552,0.020303001,39.58703050844552,0.10037762542975999,0.06402897559318473,..\airfoil_opt\data\processed\AH 79100 B AIRFOIL.dat,优秀,3
AH 79100 C AIRFOIL,0,-0.083928033,0.095091021,0.019152346,0.22612795,0.19715832,0.33776778,0.2830269,0.47187514,0.76161851,0.021375439,35.63054354111745,0.09974258294692322,0.06670168154381394,..\airfoil_opt\data\processed\AH 79100 C AIRFOIL.dat,优秀,3
e591,0,-0.14143891,-0.021196045,0.018629313,0.26158255,0.3230846,0.4130044,0.26325795,0.45057517,0.79108882,0.023302443,33.94875035205536,0.15618837622633142,0.06452693532641281,..\airfoil_opt\data\processed\e591.dat,优秀,3
s1210,0,-0.10802851,0.036757814,0.11462739,0.39482621,0.2518546,0.40242191,0.19009438,0.4724712,0.94873871,0.0229392039999999,41.35883311382575,0.11967325048083507,0.07171217600850267,..\airfoil_opt\data\processed\s1210.dat,优秀,3
s1223,0,-0.11801268,0.1584082,0.10015599,0.49751933,0.29701703,0.47534436,0.13005383,0.6441467,1.1322806,0.028748315,39.38598140447536,0.12103260133847742,0.08667007977740189,..\airfoil_opt\data\processed\s1223.dat,优秀,3
fx63100,0,-0.069914337,-0.026287193,-0.010540032,0.23792297,0.19902952,0.24108821,0.24486815,0.25134686,0.60054648,0.017832493,33.677090466262904,0.09925740464817011,0.04354050698813966,..\airfoil_opt\data\processed\fx63100.dat,优秀,1
fx63110,0,-0.083655969,-0.042132319,-0.022286773,0.23540102,0.21351939,0.25529736,0.25849892,0.25238593,0.59835257,0.018253966,32.7793187518811,0.10993176158542982,0.04354525595760681,..\airfoil_opt\data\processed\fx63110.dat,优秀,1
fx63120,0,-0.085805834,-0.028700276,-0.012210858,0.2832097,0.23883526,0.28993316,0.29353788,0.30167613,0.70828098,0.019736599,35.88667834817944,0.11896848447569584,0.052376382247584015,..\airfoil_opt\data\processed\fx63120.dat,优秀,3
fx63137,0,-0.092026423,-0.043757348,-0.015123462,0.33091301,0.26916922,0.33875742,0.32073899,0.36354298,0.79987065,0.021722565,36.822108715061965,0.13688275702302782,0.05927523585466484,..\airfoil_opt\data\processed\fx63137.dat,优秀,3
fx63137sm,0,-0.095213612,-0.034059161,-0.029403179,0.33792521,0.26965762,0.33399712,0.32888721,0.35509765,0.80433732,0.021778842,36.932051759225764,0.13636702493378614,0.05906711936185029,..\airfoil_opt\data\processed\fx63137sm.dat,优秀,3
MH 113  14pt62,0,-0.12050275,0.019912005,-0.0058352128,0.20511426,0.29335235,0.39499103,0.36457267,0.40401691,0.75833511,0.023133458,32.78087997047393,0.14676256945257316,0.06893440860261482,..\airfoil_opt\data\processed\MH 113  14pt62.dat,优秀,3
MH 114  13pt02,0,-0.096663156,0.026585925,0.0030678456,0.21167424,0.26007717,0.37087009,0.32898876,0.40195734,0.75013921,0.02189938,34.253901708632846,0.13071391247981218,0.06578666996293481,..\airfoil_opt\data\processed\MH 114  13pt02.dat,优秀,3
MH 115  11pt06,0,-0.088770509,0.02963396,-0.00014417578,0.17898173,0.22255067,0.31937137,0.27069026,0.33491049,0.65419941,0.019490444,33.56513633039863,0.11119367360233866,0.0557203646517459,..\airfoil_opt\data\processed\MH 115  11pt06.dat,优秀,3
MH 115 11pt06,0,-0.088770509,0.02963396,-0.00014417578,0.17898173,0.22255067,0.31937137,0.27069026,0.33491049,0.66073344,0.019524332,33.84153885520898,0.11119367360233866,0.0557203646517459,..\airfoil_opt\data\processed\MH 115 11pt06.dat,优秀,3
goe441,0,-0.15974082,0.045422441,0.059010249,0.22142268,0.30908049,0.50595484,0.30797676,0.42736488,0.83919893,0.024896372,33.70767957676725,0.1613869247045672,0.07969823382371578,..\airfoil_opt\data\processed\goe441.dat,优秀,3
NACA6409 9 n6409il,0,-0.081119605,0.11047411,0.026819888,0.11164736,0.18516695,0.33095585,0.24224905,0.32968947,0.61743483,0.018774521,32.886848617868864,0.09019934324797785,0.060648111006707174,..\airfoil_opt\data\processed\NACA6409 9 n6409il.dat,优秀,3
E591,0,-0.14143891,-0.021196045,0.018629313,0.26158255,0.3230846,0.4130044,0.26325795,0.45057517,0.79108882,0.023302443,33.94875035205536,0.15618837622633142,0.06452693532641281,..\airfoil_opt\data\processed\E591.dat,优秀,3
goe164,0,-0.080217097,0.12155952,0.13879214,0.086418929,0.21928112,0.35910001,0.14638853,0.39317865,0.65314787,0.019327617,33.793502323643935,0.0886353466723686,0.06654067843503517,..\airfoil_opt\data\processed\goe164.dat,优秀,3
goe233,0,-0.10355244,-0.041508648,0.38744856,0.1598018,0.24091812,0.34949724,0.31334249,0.33300606,0.8360447,0.022746869,36.75427594013048,0.11491935063268194,0.08100602576363024,..\airfoil_opt\data\processed\goe233.dat,优秀,3
GOE 241 MVA PR1 AIRFOIL,0,-0.092114709,-0.13153238,0.17563812,0.25752112,0.39683178,0.49972018,0.38077073,0.46447561,0.93048619,0.02785474,33.40494975002459,0.18950615189074382,0.08399227184019341,..\airfoil_opt\data\processed\GOE 241 MVA PR1 AIRFOIL.dat,优秀,3
GOE 242 MVA PR2 AIRFOIL,0,-0.064012255,-0.15253654,0.18600867,0.30295456,0.28012434,0.48812636,0.30899324,0.39704053,0.90876589,0.0244684979999999,37.1402400752185,0.1639454134275833,0.07540220622579173,..\airfoil_opt\data\processed\GOE 242 MVA PR2 AIRFOIL.dat,优秀,3
GOE 243 MVA PR3 AIRFOIL,0,-0.1270011,-0.1484632,0.17709889,0.37839366,0.40780855,0.44868953,0.42256296,0.43958497,1.0045587,0.028736965,34.957021383434196,0.19238734739848276,0.08458205605038059,..\airfoil_opt\data\processed\GOE 243 MVA PR3 AIRFOIL.dat,优秀,3
GOE 244 MVA PR4 AIRFOIL,0,-0.1093667,-0.0095225008,0.20766132,0.34344007,0.44786488,0.45997122,0.46957156,0.48735664,1.0866053999999998,0.031073507,34.96886913987532,0.17735069680780008,0.10061339882026138,..\airfoil_opt\data\processed\GOE 244 MVA PR4 AIRFOIL.dat,优秀,3
EPPLER 420 AIRFOIL,0,-0.12539587,0.2072483,0.11281962,0.26162372,0.34467511,0.55915769,0.34535516,0.52356074,1.0518227,0.0303166289999999,34.694579664513604,0.14408351211356418,0.10647076985541293,..\airfoil_opt\data\processed\EPPLER 420 AIRFOIL.dat,优秀,3
sg6043,0,-0.084258113,0.056120151,-0.018750582,0.19522145,0.21324567,0.27398985,0.28565241,0.37662167,0.66465115,0.019558014,33.983570622252344,0.09994772897614315,0.05509713183119108,..\airfoil_opt\data\processed\sg6043.dat,优秀,3
SG6043,0,-0.084258113,0.056120151,-0.018750582,0.19522145,0.21324567,0.27398985,0.28565241,0.37662167,0.69000264,0.021052453,32.77540341735949,0.09994772897614315,0.05509713183119108,..\airfoil_opt\data\processed\SG6043.dat,优秀,3
ch10sm,0,-0.072447195,0.13317963,0.12688412,0.31919813,0.25666844,0.47869131,0.46897533,0.49476892,1.1021046,0.03049982,36.13479030368048,0.12850563683654043,0.10239007555128726,..\airfoil_opt\data\processed\ch10sm.dat,优秀,3
GOE 482 AIRFOIL,0,-0.13048089,0.055450945,0.081793888,0.23436578,0.33850951,0.53333628,0.35924508,0.38298744,0.9068535,0.026288622,34.49604547549126,0.16542657878717879,0.08857122550441923,..\airfoil_opt\data\processed\GOE 482 AIRFOIL.dat,优秀,3
goe241,0,-0.089842471,-0.14171978,0.18741466,0.25052934,0.39683124,0.49959604,0.3811022,0.46423668,0.92598446,0.0278451779999999,33.25475096621768,0.1901770824563035,0.08399262649663744,..\airfoil_opt\data\processed\goe241.dat,优秀,3
goe242,0,-0.064012546,-0.15253517,0.18600654,0.30295503,0.28012505,0.48812299,0.30899859,0.39703715,0.90876572,0.024468492,37.14024223478913,0.16394521958549502,0.07540223570699356,..\airfoil_opt\data\processed\goe242.dat,优秀,3
goe243,0,-0.1270011,-0.1484632,0.17709889,0.37839366,0.40780855,0.44868953,0.42256296,0.43958497,1.0045587,0.028736965,34.957021383434196,0.19238734739848276,0.08458205605038059,..\airfoil_opt\data\processed\goe243.dat,优秀,3
goe244,0,-0.1093667,-0.0095225008,0.20766132,0.34344007,0.44786488,0.45997122,0.46957156,0.48735664,1.0866053999999998,0.031073507,34.96886913987532,0.17735069680780008,0.10061339882026138,..\airfoil_opt\data\processed\goe244.dat,优秀,3
GOE 431 AIRFOIL,0,-0.1110111,0.0094580707,0.1927151,0.17652625,0.24778637,0.32782291,0.33168681,0.39121864,0.77853769,0.021673149,35.92176153082323,0.11584573508675869,0.0727585441638711,..\airfoil_opt\data\processed\GOE 431 AIRFOIL.dat,优秀,3
goe523,0,-0.10272984,0.0327639,0.11737084,0.43276973,0.36103362,0.51840207,0.39691877,0.56440292,1.1259038,0.030934846,36.39597236074813,0.16589330453781206,0.09839669370027453,..\airfoil_opt\data\processed\goe523.dat,优秀,3
goe525,0,-0.10272984,0.0327639,0.11737084,0.43276973,0.36103362,0.51840207,0.39691877,0.56440292,1.1259038,0.030934846,36.39597236074813,0.16589330453781206,0.09839669370027453,..\airfoil_opt\data\processed\goe525.dat,优秀,3
FX 63100 AIRFOIL,0,-0.069914337,-0.026287193,-0.010540032,0.23792297,0.19902952,0.24108821,0.24486815,0.25134686,0.60054648,0.017832493,33.677090466262904,0.09925740464817011,0.04354050698813966,..\airfoil_opt\data\processed\FX 63100 AIRFOIL.dat,优秀,1
FX 63110 AIRFOIL,0,-0.083655969,-0.042132319,-0.022286773,0.23540102,0.21351939,0.25529736,0.25849892,0.25238593,0.59835257,0.018253966,32.7793187518811,0.10993176158542982,0.04354525595760681,..\airfoil_opt\data\processed\FX 63110 AIRFOIL.dat,优秀,1
FX 63120 AIRFOIL,0,-0.085805834,-0.028700276,-0.012210858,0.2832097,0.23883526,0.28993316,0.29353788,0.30167613,0.70828098,0.019736599,35.88667834817944,0.11896848447569584,0.052376382247584015,..\airfoil_opt\data\processed\FX 63120 AIRFOIL.dat,优秀,3
FX 63137 13.7 smoothed,0,-0.095213612,-0.034059161,-0.029403179,0.33792521,0.26965762,0.33399712,0.32888721,0.35509765,0.80391167,0.021773469,36.92161639470495,0.13636702493378614,0.05906711936185029,..\airfoil_opt\data\processed\FX 63137 13.7 smoothed.dat,优秀,3
fx73cl2152,0,-0.17072774,0.04424125,0.0020966664,0.33298961,0.29005647,0.4943311,0.12812669,0.52066152,0.87195014,0.024582648,35.47014707284586,0.15220978247428618,0.0666943288366935,..\airfoil_opt\data\processed\fx73cl2152.dat,优秀,3
fx74modsm,0,-0.041945941,0.14793199,0.055290736,0.43174181,0.27253577,0.58834493,0.24250229,0.50810165,1.1185373,0.0272233739999999,41.087386890398086,0.13050235944329017,0.09748637288949319,..\airfoil_opt\data\processed\fx74modsm.dat,优秀,3
fx76mp140,0,-0.13316758,0.099788114,-0.097858981,0.23705612,0.26604165,0.37610456,0.45028894,0.34958135,0.76766829,0.023606379,32.519527454846,0.14152048160261396,0.07151438325490148,..\airfoil_opt\data\processed\fx76mp140.dat,优秀,3
n6409,0,-0.081119605,0.11047411,0.026819888,0.11164736,0.18516695,0.33095585,0.24224905,0.32968947,0.62624056,0.018914011,33.109876059604694,0.09019934324797785,0.060648111006707174,..\airfoil_opt\data\processed\n6409.dat,优秀,3
E423,1,-0.11741957,0.21216287,0.097081001,0.25689673,0.30399886,0.48956766,0.36303358,0.50765922,1.0863558,0.028672315,37.888667169009544,0.1261247971887427,0.09997024159508923,..\airfoil_opt\data\processed\E423.dat,优秀,3
GOE 523 AIRFOIL,1,-0.10156131,0.026815573,0.13233184,0.41037555,0.36103388,0.51840019,0.39692373,0.56439567,1.2045233,0.032882975,36.63060595946686,0.16596886525612137,0.09852877778894933,..\airfoil_opt\data\processed\GOE 523 AIRFOIL.dat,优秀,3
GOE 525 AIRFOIL,1,-0.10156131,0.026815573,0.13233184,0.41037555,0.36103388,0.51840019,0.39692373,0.56439567,1.2045233,0.032882975,36.63060595946686,0.16596886525612137,0.09852877778894933,..\airfoil_opt\data\processed\GOE 525 AIRFOIL.dat,优秀,3
GOE 528 AIRFOIL,1,-0.080039023,0.043133773,0.017380749,0.045614196,0.27460645,0.37892203,0.26624086,0.29605003,0.67769141,0.020648042,32.82109800047869,0.12429109931995266,0.06234511614711606,..\airfoil_opt\data\processed\GOE 528 AIRFOIL.dat,优秀,3
GOE 529 AIRFOIL,1,-0.076507274,0.10693953,-0.0070939434,0.054141475,0.21161058,0.35071641,0.21970076,0.25140413,0.63365128,0.018991459,33.36506584354578,0.09769836449199774,0.05861207970473422,..\airfoil_opt\data\processed\GOE 529 AIRFOIL.dat,优秀,1
GOE 441 AIRFOIL,1,-0.15974115,0.045423959,0.059007582,0.2214231,0.30907987,0.5059579,0.30797078,0.42737257,0.9393168,0.026216443,35.82929995499389,0.16138699321583888,0.07969816061318924,..\airfoil_opt\data\processed\GOE 441 AIRFOIL.dat,优秀,3
GOE 448 AIRFOIL,1,-0.097069228,0.231216,0.086792156,0.14381419,0.29755046,0.50896341,0.45647274,0.48590753,1.0416809,0.028544331,36.493442428200545,0.1292155708802437,0.10642163465862337,..\airfoil_opt\data\processed\GOE 448 AIRFOIL.dat,优秀,3
FX 60100 126 AIRFOIL,1,-0.077245384,-0.10090127,0.051786878,0.14544842,0.17589831,0.22768139,0.20207374,0.21403327,0.57681746,0.017569592,32.83044136710745,0.10078834002801357,0.03586640382784281,..\airfoil_opt\data\processed\FX 60100 126 AIRFOIL.dat,优秀,1
FX 60100 AIRFOIL,1,-0.077841737,-0.092839038,0.04101468,0.14034997,0.18543349,0.21083586,0.21937682,0.20870723,0.57159459,0.017575217,32.52276145438204,0.09990401471806386,0.03566468871572838,..\airfoil_opt\data\processed\FX 60100 AIRFOIL.dat,优秀,1
FX 74CL6140,1,-0.076964676,0.085778121,-0.097316284,0.26753669,0.24882423,0.54323697,0.16766394,0.31153184,0.8669409,0.022779252,38.05835678888842,0.13986745047645313,0.0707630507404648,..\airfoil_opt\data\processed\FX 74CL6140.dat,优秀,3
FX 76MP120,1,-0.099661573,0.12931636,-0.042592299,0.26390835,0.23941337,0.37719635,0.41563207,0.37270795,0.93322202,0.024378037,38.281261940819924,0.12198580233047568,0.07614256539253983,..\airfoil_opt\data\processed\FX 76MP120.dat,优秀,3
FX 76MP140,1,-0.13316758,0.099788114,-0.097858981,0.23705612,0.26604165,0.37610456,0.45028894,0.34958135,0.88344469,0.024660747,35.82392252756983,0.14152048160261396,0.07151438325490148,..\airfoil_opt\data\processed\FX 76MP140.dat,优秀,3
mh112,1,-0.14872097,0.023649833,-0.021395168,0.21412575,0.32795796,0.4144843,0.41782749,0.41431677,0.87764591,0.026415853,33.224212369746304,0.16271842638737508,0.07354172634005834,..\airfoil_opt\data\processed\mh112.dat,优秀,3
mh113,1,-0.12071896,0.021071401,-0.0093053869,0.20863971,0.29335245,0.39498183,0.36459993,0.4040032,0.85953659,0.024348136,35.30194631736902,0.14680607441083862,0.06885964395672446,..\airfoil_opt\data\processed\mh113.dat,优秀,3
mh114,1,-0.096675623,0.026599028,0.0030608527,0.21167296,0.26007646,0.37087281,0.32898783,0.401954,0.85031638,0.023008467,36.95667251538314,0.13071411337752017,0.06578687099238117,..\airfoil_opt\data\processed\mh114.dat,优秀,3
mh115,1,-0.088763609,0.029625767,-0.00013503793,0.17897465,0.2225544,0.31936504,0.27069611,0.33490925,0.75655995,0.0203624289999999,37.15470045346769,0.11119338986850556,0.05572038580349988,..\airfoil_opt\data\processed\mh115.dat,优秀,3
WORTMANN FX 082512 AIRFOIL,1,-0.14030956,-0.14637677,0.057801793,0.21791118,0.13142707,0.22794464,0.19356803,0.38887837,0.64366363,0.01949041,33.02463262702016,0.11093260547015617,0.042110513148054675,..\airfoil_opt\data\processed\WORTMANN FX 082512 AIRFOIL.dat,优秀,1
fx082512,1,-0.14030956,-0.14637677,0.057801793,0.21791118,0.13142707,0.22794464,0.19356803,0.38887837,0.64366363,0.01949041,33.02463262702016,0.11093260547015617,0.042110513148054675,..\airfoil_opt\data\processed\fx082512.dat,优秀,1
FX60100 10pt0 smoothed,1,-0.079239253,-0.089986852,0.037745471,0.14116692,0.18457558,0.21223273,0.21564537,0.21102716,0.57106147,0.017567016,32.50759662312597,0.0997247968644254,0.035474207413444564,..\airfoil_opt\data\processed\FX60100 10pt0 smoothed.dat,优秀,1
fx601001,1,-0.077245384,-0.10090127,0.051786878,0.14544842,0.17589831,0.22768139,0.20207374,0.21403327,0.57681746,0.017569592,32.83044136710745,0.10078834002801357,0.03586640382784281,..\airfoil_opt\data\processed\fx601001.dat,优秀,1
S1210 12,1,-0.10802851,0.036757814,0.11462739,0.39482621,0.2518546,0.40242191,0.19009438,0.4724712,1.0488064,0.02414388,43.439844797108,0.11967325048083507,0.07171217600850267,..\airfoil_opt\data\processed\S1210 12.dat,优秀,3
S1221  w 4 deg flap,1,-0.10757998,-0.018790346,0.084908923,0.33103791,0.2516256,0.36009433,0.086778767,0.42983285,0.89092157,0.021718015,41.02223752953481,0.11849335329619562,0.05408049043700577,..\airfoil_opt\data\processed\S1221  w 4 deg flap.dat,优秀,3
S1221  wo flap,1,-0.11340213,-0.0073134501,0.068071307,0.35267962,0.24292043,0.39844313,0.0086914957,0.52775371,0.90480107,0.022694992,39.86787349385274,0.11971851985024622,0.05344984450055614,..\airfoil_opt\data\processed\S1221  wo flap.dat,优秀,3
S1223,1,-0.11801268,0.1584082,0.10015599,0.49751933,0.29701703,0.47534436,0.13005383,0.6441467,1.2157871999999998,0.028586733,42.5297707156673,0.12103260133847742,0.08667007977740189,..\airfoil_opt\data\processed\S1223.dat,优秀,3
GOE 164 MVA MK10 AIRFOIL,1,-0.080217097,0.12155952,0.13879214,0.086418929,0.21928112,0.35910001,0.14638853,0.39317865,0.7535,0.020041795,37.596432854442426,0.0886353466723686,0.06654067843503517,..\airfoil_opt\data\processed\GOE 164 MVA MK10 AIRFOIL.dat,优秀,3
GOE 165 MVA MK11 AIRFOIL,1,-0.064172372,-0.15464595,0.28244138,0.070798083,0.22229113,0.37731676,0.12978614,0.39228927,0.71486826,0.020351364,35.1263070131319,0.12338013031236791,0.05592666361872961,..\airfoil_opt\data\processed\GOE 165 MVA MK11 AIRFOIL.dat,优秀,3
GOE 173 ALBATROS 6020 AIRFOIL,1,-0.023884145,0.11138006,0.047868982,0.069993738,0.2100334,0.34264579,0.15067819,0.29563299,0.67320513,0.0187741069999999,35.858170511119575,0.08035908259574256,0.060697868587393865,..\airfoil_opt\data\processed\GOE 173 ALBATROS 6020 AIRFOIL.dat,优秀,1
GOE 174 ALBATROS 5020 AIRFOIL,1,-0.056142578,0.10121269,0.034550514,0.046396151,0.21703571,0.32583053,0.15703421,0.28722561,0.6280353,0.018431278,34.07443043287611,0.08665671607342282,0.056510944244991736,..\airfoil_opt\data\processed\GOE 174 ALBATROS 5020 AIRFOIL.dat,优秀,1
GOE 176 ALBATROS 7020 AIRFOIL,1,-0.091403166,0.053016192,0.086184551,0.063429046,0.22921508,0.33543507,0.1647577,0.31312242,0.66103641,0.019167242,34.487820939496665,0.10139878724852558,0.05577628630898662,..\airfoil_opt\data\processed\GOE 176 ALBATROS 7020 AIRFOIL.dat,优秀,3
